delay,condition,textbox.text,,,,,,,,,,
0.1,exp,123,,,,,,,,,,
0.1,exp,67,,,,,,,,,,
0.1,exp,890,,,exp100,exp400,exp700,,unexp100,unexp400,unexp700,
0.4,exp,213,,,,,,,,,,
0.4,exp,543,,,,,,,,,,
0.4,exp,779,,,,,,,,,,
0.4,exp,139,,,,,,,,,,
0.4,exp,768,,,,,,,,,,
0.4,exp,213,,,,,,,,,,
0.4,exp,679,,,,,,,,,,
0.4,exp,324,,,,,,,,,,
0.4,exp,659,,,,,,,,,,
0.4,exp,438,,,,,,,,,,
0.4,exp,332,,,,,,,,,,
0.4,exp,672,,,,,,,,,,
0.4,exp,213,,,,,,,,,,
0.4,exp,685,,,,,,,,,,
0.4,exp,239,,,,,,,,,,
0.4,exp,329,,,,,,,,,,
0.4,exp,785,,,,,,,,,,
0.4,exp,456,,,,,,,,,,
0.4,exp,123,,,,,,,,,,
0.4,exp,567,,,,,,,,,,
0.4,exp,673,,,,,,,,,,
0.4,exp,569,,,,,,,,,,
0.4,exp,128,,,,,,,,,,
0.4,exp,574,,,,,,,,,,
0.4,exp,123,,,,,,,,,,
0.4,exp,345,,,,,,,,,,
0.4,exp,832,,,,,,,,,,
0.4,exp,568,,,,,,,,,,
0.4,exp,324,,,,,,,,,,
0.4,exp,756,,,,,,,,,,
0.4,exp,686,,,,,,,,,,
0.4,exp,22,,,,,,,,,,
0.4,exp,234,,,,,,,,,,
0.4,exp,432,,,,,,,,,,
0.4,exp,563,,,,,,,,,,
0.4,exp,786,,,,,,,,,,
0.4,exp,564,,,,,,,,,,
0.4,exp,569,,,,,,,,,,
0.4,exp,23,,,,,,,,,,
0.4,exp,674,,,,,,,,,,
0.4,exp,685,,,,,,,,,,
0.4,exp,383,,,,,,,,,,
0.4,exp,768,,,,,,,,,,
0.4,exp,432,,,,,,,,,,
0.4,exp,675,,,,,,,,,,
0.4,exp,321,,,,,,,,,,
0.4,exp,876,,,,,,,,,,
0.4,exp,837,,,,,,,,,,
0.4,exp,657,,,,,,,,,,
0.4,exp,231,,,,,,,,,,
0.4,exp,120,,,,,,,,,,
0.4,exp,743,,,,,,,,,,
0.4,exp,674,,,,,,,,,,
0.4,exp,834,,,,,,,,,,
0.4,exp,765,,,,,,,,,,
0.4,exp,765,,,,,,,,,,
0.7,exp,567,,,,,,,,,,
0.7,exp,133,,,,,,,,,,
0.7,exp,21,,,,,,,,,,
0.7,exp,56,,,,,,,,,,
0.7,exp,45,,,,,,,,,,
0.7,exp,234,,,,,,,,,,
0.7,exp,11,,,,,,,,,,
0.7,exp,77,,,,,,,,,,
0.7,exp,1245,,,,,,,,,,
0.7,exp,66,,,,,,,,,,
0.7,exp,213,,,,,,,,,,
0.7,exp,321,,,,,,,,,,
0.7,exp,345,,,,,,,,,,
0.7,exp,112,,,,,,,,,,
0.7,exp,77,,,,,,,,,,
0.7,exp,11,,,,,,,,,,
0.7,exp,223,,,,,,,,,,
0.7,exp,134,,,,,,,,,,
0.7,exp,982,,,,,,,,,,
0.7,exp,678,,,,,,,,,,
0.7,exp,345,,,,,,,,,,
0.7,exp,987,,,,,,,,,,
0.7,exp,789,,,,,,,,,,
0.7,exp,567,,,,,,,,,,
0.7,exp,,,,,,,,,,,
0.7,exp,456,,,,,,,,,,
0.7,exp,77,,,,,,,,,,
0.7,exp,88,,,,,,,,,,
0.7,exp,456,,,,,,,,,,
0.7,exp,549,,,,,,,,,,
0.7,exp,100,,,,,,,,,,
0.7,exp,799,,,,,,,,,,
0.7,exp,560,,,,,,,,,,
0.7,exp,440,,,,,,,,,,
0.7,exp,440,,,,,,,,,,
0.7,exp,80,,,,,,,,,,
0.7,exp,210,,,,,,,,,,
0.7,exp,222,,,,,,,,,,
0.7,exp,697,,,,,,,,,,
0.7,exp,111,,,,,,,,,,
0.7,exp,222,,,,,,,,,,
0.7,exp,87,,,,,,,,,,
